""	""	"EAP"	"HPL"	"MWS"	"EAP"	"HPL"	"MWS"
"sample391"	"falteringly"	"0"	"1"	"0"	"0"	"0"	"0"
"sample392"	"fancied"	"0"	"0"	"0"	"0"	"0"	"3"
"sample393"	"faound"	"0"	"2"	"0"	"0"	"0"	"0"
"sample394"	"fatigued"	"0"	"0"	"1"	"0"	"0"	"0"
"sample395"	"feared"	"0"	"1"	"2"	"0"	"0"	"5"
"sample396"	"fears"	"0"	"0"	"0"	"0"	"0"	"2"
"sample397"	"fed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample398"	"feels"	"0"	"1"	"2"	"0"	"0"	"0"
"sample399"	"feex"	"0"	"1"	"0"	"0"	"0"	"0"
"sample400"	"fell"	"6"	"2"	"0"	"1"	"1"	"3"
"sample401"	"felt"	"0"	"20"	"14"	"1"	"0"	"10"
"sample402"	"fer"	"0"	"1"	"0"	"0"	"0"	"0"
"sample403"	"fidgeted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample404"	"figured"	"0"	"0"	"0"	"0"	"0"	"2"
"sample405"	"filled"	"0"	"0"	"2"	"0"	"0"	"0"
"sample406"	"fills"	"0"	"0"	"0"	"0"	"0"	"1"
"sample407"	"finally"	"1"	"2"	"0"	"0"	"0"	"0"
"sample408"	"find"	"0"	"1"	"1"	"0"	"0"	"0"
"sample409"	"finds"	"2"	"0"	"1"	"1"	"0"	"0"
"sample410"	"finished"	"1"	"3"	"0"	"0"	"0"	"0"
"sample411"	"first"	"0"	"2"	"4"	"0"	"0"	"1"
"sample412"	"fitted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample413"	"fixed"	"0"	"0"	"0"	"0"	"1"	"0"
"sample414"	"flapped"	"0"	"0"	"0"	"1"	"0"	"0"
"sample415"	"fled"	"0"	"2"	"3"	"0"	"0"	"0"
"sample416"	"flees"	"0"	"1"	"0"	"0"	"0"	"0"
"sample417"	"flew"	"0"	"0"	"1"	"0"	"0"	"1"
"sample418"	"flies"	"1"	"0"	"0"	"0"	"0"	"0"
"sample419"	"floated"	"0"	"0"	"1"	"1"	"0"	"1"
"sample420"	"flouted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample421"	"flung"	"0"	"1"	"0"	"0"	"0"	"0"
"sample422"	"folded"	"0"	"0"	"0"	"0"	"0"	"1"
"sample423"	"followed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample424"	"for"	"1"	"1"	"2"	"1"	"0"	"0"
"sample425"	"forced"	"0"	"2"	"1"	"0"	"0"	"0"
"sample426"	"forebore"	"2"	"0"	"0"	"0"	"0"	"0"
"sample427"	"foresaw"	"0"	"0"	"2"	"0"	"0"	"1"
"sample428"	"forged"	"0"	"1"	"0"	"0"	"0"	"0"
"sample429"	"forgot"	"0"	"0"	"2"	"0"	"0"	"0"
"sample430"	"formed"	"1"	"0"	"0"	"0"	"0"	"2"
"sample431"	"forsakes"	"0"	"0"	"1"	"0"	"0"	"0"
"sample432"	"fought"	"0"	"0"	"0"	"0"	"0"	"1"
"sample433"	"found"	"4"	"18"	"9"	"0"	"1"	"2"
"sample434"	"framed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample435"	"frequently"	"0"	"1"	"0"	"0"	"0"	"0"
"sample436"	"from"	"0"	"0"	"1"	"0"	"0"	"0"
"sample437"	"fully"	"0"	"1"	"0"	"1"	"0"	"1"
"sample438"	"further"	"0"	"1"	"0"	"0"	"0"	"0"
"sample439"	"gained"	"0"	"0"	"0"	"0"	"0"	"1"
"sample440"	"garrulously"	"0"	"0"	"0"	"0"	"0"	"1"
"sample441"	"gasped"	"0"	"2"	"0"	"0"	"0"	"1"
"sample442"	"gasping"	"1"	"0"	"0"	"0"	"0"	"0"
"sample443"	"gave"	"3"	"3"	"9"	"4"	"0"	"6"
"sample444"	"gazed"	"1"	"2"	"2"	"0"	"0"	"1"
"sample445"	"gently"	"0"	"1"	"0"	"0"	"0"	"1"
"sample446"	"gestured"	"0"	"1"	"0"	"0"	"0"	"0"
"sample447"	"gets"	"1"	"0"	"0"	"0"	"0"	"0"
"sample448"	"gib"	"1"	"0"	"0"	"0"	"0"	"0"
"sample449"	"gits"	"0"	"1"	"0"	"0"	"0"	"0"
"sample450"	"give"	"0"	"1"	"1"	"0"	"0"	"0"
"sample451"	"gives"	"1"	"0"	"0"	"0"	"0"	"0"
"sample452"	"glanced"	"1"	"0"	"0"	"0"	"0"	"0"
"sample453"	"glided"	"0"	"0"	"0"	"1"	"0"	"0"
"sample454"	"gloated"	"0"	"1"	"0"	"0"	"0"	"0"
"sample455"	"gloried"	"0"	"0"	"1"	"0"	"0"	"0"
"sample456"	"glory"	"0"	"0"	"0"	"0"	"0"	"1"
"sample457"	"gnashed"	"0"	"0"	"0"	"1"	"0"	"0"
"sample458"	"gnashes"	"0"	"0"	"1"	"0"	"0"	"0"
"sample459"	"go"	"0"	"1"	"0"	"0"	"0"	"0"
"sample460"	"goes"	"3"	"0"	"0"	"0"	"0"	"0"
"sample461"	"going"	"0"	"1"	"0"	"0"	"0"	"0"
"sample462"	"good"	"1"	"0"	"0"	"0"	"0"	"0"
"sample463"	"got"	"0"	"6"	"1"	"0"	"1"	"0"
"sample464"	"gradually"	"0"	"0"	"0"	"1"	"0"	"0"
"sample465"	"granted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample466"	"grasped"	"0"	"0"	"1"	"0"	"0"	"0"
"sample467"	"greeted"	"1"	"1"	"0"	"0"	"0"	"0"
"sample468"	"grew"	"2"	"5"	"0"	"0"	"0"	"3"
"sample469"	"grieved"	"0"	"0"	"1"	"1"	"0"	"1"
"sample470"	"grins"	"1"	"0"	"0"	"0"	"0"	"0"
"sample471"	"guessed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample472"	"guesses"	"2"	"0"	"0"	"0"	"0"	"0"
"sample473"	"guided"	"0"	"0"	"0"	"0"	"0"	"1"
"sample474"	"habitually"	"1"	"0"	"0"	"1"	"0"	"0"
"sample475"	"had"	"106"	"237"	"169"	"39"	"13"	"106"
"sample476"	"hailed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample477"	"half"	"0"	"2"	"1"	"0"	"0"	"1"
"sample478"	"handed"	"2"	"1"	"0"	"0"	"0"	"0"
"sample479"	"handled"	"0"	"1"	"1"	"0"	"0"	"0"
"sample480"	"hardly"	"0"	"0"	"1"	"0"	"0"	"1"
"sample481"	"harkened"	"1"	"0"	"0"	"0"	"0"	"0"
"sample482"	"has"	"41"	"7"	"13"	"7"	"0"	"6"
"sample483"	"hasn't"	"1"	"0"	"0"	"0"	"0"	"0"
"sample484"	"hastened"	"0"	"0"	"5"	"0"	"0"	"1"
"sample485"	"hastens"	"0"	"0"	"0"	"1"	"0"	"0"
"sample486"	"hated"	"0"	"1"	"0"	"0"	"0"	"0"
"sample487"	"hath"	"0"	"1"	"0"	"0"	"1"	"0"
"sample488"	"haughtily"	"0"	"0"	"0"	"0"	"0"	"1"
"sample489"	"have"	"2"	"1"	"1"	"0"	"0"	"0"
"sample490"	"having"	"0"	"2"	"0"	"0"	"0"	"0"
"sample491"	"headed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample492"	"heard"	"1"	"15"	"7"	"0"	"0"	"10"
"sample493"	"hears"	"1"	"0"	"0"	"0"	"0"	"0"
"sample494"	"heartily"	"0"	"0"	"1"	"0"	"0"	"0"
"sample495"	"heerd"	"0"	"3"	"0"	"0"	"0"	"0"
"sample496"	"held"	"5"	"3"	"5"	"0"	"0"	"1"
"sample497"	"henceforward"	"1"	"0"	"0"	"0"	"0"	"0"
"sample498"	"her"	"0"	"0"	"2"	"0"	"0"	"0"
"sample499"	"here"	"2"	"0"	"0"	"0"	"0"	"0"
"sample500"	"herself"	"0"	"0"	"0"	"0"	"0"	"3"
"sample501"	"hesitated"	"2"	"0"	"2"	"0"	"0"	"1"
"sample502"	"hi"	"2"	"0"	"0"	"0"	"0"	"0"
"sample503"	"hid"	"0"	"0"	"0"	"0"	"0"	"2"
"sample504"	"himself"	"0"	"4"	"1"	"0"	"0"	"0"
"sample505"	"hinted"	"0"	"0"	"0"	"0"	"1"	"0"
"sample506"	"his"	"0"	"0"	"1"	"0"	"0"	"0"
"sample507"	"holds"	"2"	"0"	"0"	"0"	"0"	"0"
"sample508"	"hoped"	"0"	"2"	"2"	"0"	"0"	"2"
"sample509"	"how"	"0"	"0"	"1"	"0"	"0"	"1"
"sample510"	"however"	"0"	"0"	"1"	"1"	"0"	"0"
"sample511"	"hung"	"0"	"0"	"0"	"1"	"0"	"2"
"sample512"	"hurried"	"2"	"0"	"1"	"0"	"0"	"0"
"sample513"	"i"	"2"	"0"	"1"	"0"	"0"	"1"
"sample514"	"if"	"1"	"0"	"0"	"0"	"0"	"0"
"sample515"	"imagined"	"2"	"0"	"0"	"0"	"0"	"0"
"sample516"	"imagines"	"1"	"0"	"0"	"0"	"0"	"0"
"sample517"	"imbibed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample518"	"immediately"	"2"	"0"	"0"	"0"	"0"	"0"
"sample519"	"impaired"	"1"	"0"	"0"	"0"	"0"	"0"
"sample520"	"in"	"6"	"0"	"1"	"2"	"0"	"1"
"sample521"	"indeed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample522"	"indulged"	"0"	"1"	"1"	"0"	"0"	"0"
"sample523"	"indulges"	"1"	"0"	"0"	"0"	"0"	"0"
"sample524"	"inevitably"	"1"	"1"	"0"	"0"	"0"	"0"
"sample525"	"inflicted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample526"	"inform"	"1"	"0"	"0"	"0"	"0"	"0"
"sample527"	"informed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample528"	"injected"	"0"	"3"	"0"	"0"	"0"	"0"
"sample529"	"inly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample530"	"inquired"	"1"	"0"	"2"	"0"	"0"	"0"
"sample531"	"insisted"	"1"	"2"	"0"	"0"	"0"	"1"
"sample532"	"inspired"	"0"	"1"	"0"	"0"	"0"	"0"
"sample533"	"instanced"	"2"	"0"	"0"	"0"	"0"	"0"
"sample534"	"instantly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample535"	"instigated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample536"	"instilled"	"0"	"0"	"1"	"0"	"0"	"0"
"sample537"	"instinctively"	"1"	"1"	"0"	"0"	"0"	"0"
"sample538"	"instructed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample539"	"insulted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample540"	"intended"	"0"	"0"	"2"	"0"	"0"	"0"
"sample541"	"intends"	"1"	"0"	"0"	"0"	"0"	"0"
"sample542"	"intentionally"	"1"	"0"	"0"	"0"	"0"	"0"
"sample543"	"interested"	"0"	"0"	"0"	"1"	"0"	"0"
"sample544"	"interests"	"0"	"0"	"1"	"0"	"0"	"0"
"sample545"	"interspersed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample546"	"invented"	"0"	"0"	"1"	"0"	"0"	"0"
"sample547"	"involved"	"1"	"0"	"0"	"0"	"0"	"0"
"sample548"	"is"	"76"	"8"	"44"	"13"	"1"	"15"
"sample549"	"issued"	"1"	"0"	"0"	"1"	"0"	"0"
"sample550"	"it"	"1"	"1"	"0"	"0"	"0"	"0"
"sample551"	"je"	"1"	"0"	"0"	"0"	"0"	"0"
"sample552"	"jealously"	"0"	"0"	"0"	"0"	"0"	"1"
"sample553"	"joined"	"0"	"0"	"1"	"0"	"0"	"1"
"sample554"	"judged"	"0"	"0"	"0"	"0"	"0"	"1"
"sample555"	"judges"	"1"	"0"	"0"	"0"	"0"	"0"
"sample556"	"just"	"1"	"0"	"0"	"0"	"0"	"0"
"sample557"	"justly"	"1"	"0"	"0"	"0"	"0"	"0"
"sample558"	"keep"	"1"	"1"	"0"	"0"	"0"	"0"
"sample559"	"kept"	"2"	"2"	"0"	"0"	"0"	"0"
"sample560"	"kick"	"1"	"0"	"0"	"0"	"0"	"0"
"sample561"	"kicked"	"1"	"1"	"0"	"0"	"0"	"0"
"sample562"	"kicks"	"1"	"0"	"0"	"0"	"0"	"0"
"sample563"	"killed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample564"	"kinder"	"0"	"1"	"0"	"0"	"0"	"0"
"sample565"	"kissed"	"1"	"0"	"1"	"1"	"0"	"1"
"sample566"	"kisses"	"1"	"0"	"0"	"0"	"0"	"0"
"sample567"	"knew"	"0"	"26"	"8"	"2"	"1"	"5"
"sample568"	"know"	"1"	"2"	"0"	"0"	"0"	"1"
"sample569"	"knows"	"0"	"2"	"1"	"0"	"0"	"1"
"sample570"	"laboured"	"0"	"1"	"0"	"0"	"0"	"0"
"sample571"	"lacked"	"0"	"1"	"0"	"0"	"0"	"0"
"sample572"	"lagged"	"0"	"0"	"0"	"0"	"0"	"1"
"sample573"	"laid"	"1"	"2"	"0"	"0"	"0"	"0"
"sample574"	"larnt"	"0"	"2"	"0"	"0"	"0"	"0"
"sample575"	"laughed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample576"	"laughing"	"0"	"0"	"2"	"0"	"0"	"0"
"sample577"	"lavished"	"1"	"0"	"0"	"0"	"0"	"0"
"sample578"	"lay"	"3"	"2"	"7"	"0"	"0"	"3"
"sample579"	"leads"	"0"	"0"	"0"	"0"	"0"	"1"
"sample580"	"leaned"	"1"	"1"	"0"	"0"	"0"	"4"
"sample581"	"leaps"	"2"	"0"	"0"	"0"	"0"	"0"
"sample582"	"leapt"	"0"	"0"	"3"	"0"	"0"	"0"
"sample583"	"learnt"	"0"	"0"	"1"	"0"	"0"	"1"
"sample584"	"least"	"0"	"0"	"1"	"0"	"0"	"0"
"sample585"	"leaves"	"0"	"1"	"0"	"0"	"0"	"0"
"sample586"	"led"	"1"	"2"	"4"	"0"	"0"	"0"
"sample587"	"left"	"1"	"4"	"7"	"0"	"0"	"5"
"sample588"	"lent"	"0"	"0"	"1"	"0"	"0"	"0"
"sample589"	"let"	"2"	"1"	"0"	"1"	"1"	"0"
"sample590"	"licked"	"0"	"1"	"0"	"0"	"0"	"0"
"sample591"	"lies"	"0"	"0"	"1"	"0"	"0"	"0"
"sample592"	"lifted"	"1"	"0"	"1"	"0"	"0"	"0"
"sample593"	"lifts"	"1"	"0"	"0"	"0"	"0"	"0"
"sample594"	"lined"	"0"	"1"	"0"	"0"	"0"	"0"
"sample595"	"lingered"	"0"	"1"	"0"	"0"	"0"	"0"
"sample596"	"listened"	"0"	"1"	"3"	"0"	"0"	"4"
"sample597"	"listens"	"0"	"0"	"0"	"0"	"0"	"1"
"sample598"	"lit"	"0"	"0"	"0"	"1"	"0"	"0"
"sample599"	"lived"	"0"	"2"	"2"	"0"	"0"	"2"
"sample600"	"lives"	"0"	"2"	"0"	"0"	"0"	"0"
"sample601"	"loathed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample602"	"locked"	"1"	"0"	"0"	"0"	"0"	"1"
"sample603"	"lodged"	"0"	"0"	"1"	"0"	"0"	"0"
"sample604"	"long"	"0"	"1"	"0"	"0"	"0"	"0"
"sample605"	"longed"	"0"	"1"	"0"	"0"	"0"	"1"
"sample606"	"looked"	"4"	"12"	"9"	"0"	"0"	"14"
"sample607"	"looking"	"1"	"0"	"0"	"0"	"0"	"0"
"sample608"	"looks"	"2"	"0"	"1"	"0"	"0"	"1"
"sample609"	"lose"	"0"	"0"	"1"	"0"	"0"	"0"
"sample610"	"loses"	"1"	"0"	"0"	"0"	"0"	"0"
"sample611"	"lost"	"0"	"1"	"1"	"1"	"0"	"2"
"sample612"	"loved"	"1"	"2"	"11"	"1"	"0"	"6"
"sample613"	"loves"	"0"	"0"	"1"	"0"	"0"	"0"
"sample614"	"lunched"	"0"	"1"	"0"	"0"	"0"	"0"
"sample615"	"lurched"	"0"	"1"	"0"	"0"	"0"	"1"
"sample616"	"m"	"1"	"0"	"0"	"0"	"0"	"0"
"sample617"	"madame"	"0"	"0"	"0"	"1"	"0"	"0"
"sample618"	"made"	"12"	"5"	"4"	"4"	"0"	"2"
"sample619"	"maintained"	"3"	"1"	"0"	"0"	"0"	"0"
"sample620"	"maintains"	"0"	"1"	"0"	"0"	"0"	"0"
"sample621"	"make"	"0"	"0"	"0"	"1"	"0"	"0"
"sample622"	"makes"	"4"	"0"	"0"	"1"	"0"	"0"
"sample623"	"managed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample624"	"manages"	"0"	"1"	"0"	"0"	"0"	"0"
"sample625"	"manifested"	"0"	"0"	"1"	"0"	"0"	"0"
"sample626"	"mark"	"0"	"1"	"0"	"0"	"0"	"0"
"sample627"	"marked"	"0"	"0"	"0"	"0"	"0"	"2"
"sample628"	"married"	"1"	"2"	"0"	"0"	"0"	"2"
"sample629"	"marry"	"0"	"0"	"0"	"3"	"0"	"0"
"sample630"	"mastered"	"0"	"0"	"0"	"0"	"0"	"1"
"sample631"	"matter"	"1"	"0"	"0"	"0"	"0"	"0"
"sample632"	"matured"	"0"	"0"	"1"	"0"	"0"	"0"
"sample633"	"may"	"7"	"1"	"7"	"0"	"0"	"1"
"sample634"	"means"	"1"	"0"	"0"	"0"	"0"	"0"
"sample635"	"meant"	"3"	"4"	"0"	"0"	"0"	"0"
"sample636"	"measures"	"1"	"0"	"0"	"0"	"0"	"0"
"sample637"	"meditated"	"0"	"0"	"2"	"0"	"0"	"0"
"sample638"	"mentioned"	"1"	"1"	"2"	"0"	"0"	"1"
"sample639"	"merely"	"0"	"1"	"0"	"0"	"0"	"0"
"sample640"	"merits"	"0"	"0"	"1"	"0"	"0"	"0"
"sample641"	"met"	"0"	"6"	"0"	"0"	"0"	"1"
"sample642"	"might"	"10"	"17"	"20"	"2"	"1"	"13"
"sample643"	"migrated"	"1"	"0"	"0"	"0"	"0"	"0"
"sample644"	"mimicking"	"0"	"0"	"0"	"1"	"0"	"0"
"sample645"	"minded"	"0"	"1"	"0"	"0"	"0"	"0"
"sample646"	"mingled"	"1"	"0"	"0"	"0"	"0"	"0"
"sample647"	"missed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample648"	"modified"	"0"	"0"	"0"	"1"	"0"	"0"
"sample649"	"more"	"2"	"0"	"0"	"0"	"0"	"0"
"sample650"	"most"	"0"	"0"	"0"	"0"	"0"	"1"
"sample651"	"motioned"	"0"	"3"	"0"	"0"	"0"	"0"
"sample652"	"mouff"	"1"	"0"	"0"	"0"	"0"	"0"
"sample653"	"mounted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample654"	"moved"	"0"	"2"	"0"	"0"	"0"	"1"
"sample655"	"mr"	"1"	"0"	"0"	"0"	"0"	"0"
"sample656"	"much"	"1"	"0"	"1"	"0"	"0"	"0"
"sample657"	"murmured"	"0"	"0"	"0"	"0"	"0"	"1"
"sample658"	"murmurs"	"0"	"0"	"0"	"1"	"0"	"0"
"sample659"	"musingly"	"1"	"0"	"0"	"0"	"0"	"0"
"sample660"	"must"	"9"	"14"	"8"	"5"	"0"	"4"
"sample661"	"muttered"	"1"	"1"	"0"	"0"	"0"	"0"
"sample662"	"my"	"0"	"0"	"3"	"0"	"0"	"0"
"sample663"	"named"	"0"	"1"	"0"	"0"	"0"	"0"
"sample664"	"narrated"	"0"	"0"	"2"	"0"	"0"	"0"
"sample665"	"necessarily"	"1"	"0"	"0"	"0"	"0"	"0"
"sample666"	"need"	"0"	"1"	"1"	"0"	"0"	"0"
"sample667"	"needed"	"0"	"2"	"0"	"0"	"0"	"0"
"sample668"	"neglected"	"1"	"0"	"0"	"0"	"0"	"1"
"sample669"	"neither"	"1"	"0"	"3"	"1"	"0"	"0"
"sample670"	"nervously"	"0"	"1"	"0"	"0"	"0"	"0"
"sample671"	"nevair"	"0"	"1"	"0"	"0"	"0"	"0"
"sample672"	"never"	"9"	"5"	"4"	"0"	"0"	"7"
"sample673"	"no"	"1"	"1"	"3"	"0"	"0"	"2"
"sample674"	"nodded"	"1"	"1"	"0"	"0"	"0"	"0"
"sample675"	"nor"	"0"	"2"	"0"	"0"	"0"	"0"
"sample676"	"not"	"14"	"6"	"10"	"3"	"0"	"4"
"sample677"	"noted"	"0"	"0"	"0"	"0"	"0"	"1"
"sample678"	"notes"	"1"	"0"	"0"	"0"	"0"	"0"
"sample679"	"noticed"	"0"	"2"	"0"	"0"	"0"	"0"
"sample680"	"notices"	"0"	"1"	"0"	"0"	"0"	"0"
"sample681"	"now"	"5"	"3"	"9"	"2"	"0"	"7"
"sample682"	"o"	"0"	"0"	"1"	"0"	"0"	"0"
"sample683"	"obeyed"	"0"	"0"	"1"	"1"	"0"	"0"
"sample684"	"objected"	"1"	"0"	"0"	"0"	"0"	"0"
"sample685"	"obliged"	"1"	"0"	"0"	"0"	"0"	"0"
"sample686"	"observ'd"	"0"	"1"	"0"	"0"	"0"	"0"
"sample687"	"observed"	"2"	"1"	"3"	"1"	"0"	"2"
"sample688"	"observing"	"0"	"0"	"1"	"0"	"0"	"0"
"sample689"	"obtained"	"0"	"0"	"1"	"0"	"0"	"1"
"sample690"	"occasioned"	"0"	"0"	"1"	"0"	"0"	"0"
"sample691"	"occupied"	"1"	"0"	"0"	"0"	"1"	"0"
"sample692"	"of"	"2"	"1"	"1"	"2"	"0"	"0"
"sample693"	"offered"	"0"	"1"	"1"	"0"	"0"	"0"
"sample694"	"offers"	"0"	"0"	"0"	"1"	"0"	"0"
"sample695"	"often"	"0"	"1"	"5"	"0"	"0"	"3"
"sample696"	"omitted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample697"	"on"	"0"	"0"	"0"	"0"	"0"	"1"
"sample698"	"one"	"0"	"1"	"0"	"0"	"0"	"0"
"sample699"	"only"	"0"	"0"	"0"	"1"	"0"	"1"
"sample700"	"opened"	"0"	"1"	"2"	"0"	"0"	"2"
"sample701"	"openly"	"0"	"1"	"0"	"0"	"0"	"0"
"sample702"	"opens"	"2"	"0"	"0"	"1"	"0"	"0"
"sample703"	"or"	"0"	"1"	"4"	"0"	"0"	"0"
"sample704"	"ordered"	"1"	"1"	"0"	"0"	"0"	"0"
"sample705"	"ought"	"0"	"1"	"1"	"0"	"0"	"0"
"sample706"	"our"	"0"	"0"	"1"	"0"	"0"	"0"
"sample707"	"outfitted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample708"	"over"	"1"	"0"	"0"	"0"	"0"	"0"
"sample709"	"overstep"	"0"	"0"	"1"	"0"	"0"	"0"
"sample710"	"owe"	"0"	"0"	"1"	"0"	"0"	"0"
"sample711"	"owed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample712"	"owned"	"0"	"1"	"1"	"0"	"0"	"0"
"sample713"	"paid"	"2"	"1"	"0"	"0"	"0"	"1"
"sample714"	"partly"	"0"	"0"	"0"	"1"	"0"	"0"
"sample715"	"partook"	"0"	"0"	"1"	"0"	"0"	"0"
"sample716"	"passed"	"1"	"3"	"2"	"0"	"0"	"0"
"sample717"	"passes"	"1"	"0"	"2"	"0"	"0"	"0"
"sample718"	"passionate"	"1"	"0"	"0"	"0"	"0"	"0"
"sample719"	"passionately"	"0"	"0"	"0"	"0"	"0"	"1"
"sample720"	"pathetically"	"0"	"0"	"0"	"0"	"0"	"1"
"sample721"	"patronized"	"1"	"0"	"0"	"0"	"0"	"0"
"sample722"	"patterned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample723"	"paused"	"0"	"3"	"3"	"1"	"0"	"1"
"sample724"	"perceived"	"2"	"3"	"7"	"0"	"0"	"3"
"sample725"	"perceiving"	"1"	"0"	"1"	"0"	"0"	"0"
"sample726"	"perfectly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample727"	"performed"	"0"	"0"	"1"	"1"	"0"	"0"
"sample728"	"perished"	"0"	"0"	"0"	"0"	"0"	"1"
"sample729"	"perpetually"	"1"	"0"	"1"	"0"	"0"	"0"
"sample730"	"persisted"	"0"	"0"	"1"	"0"	"0"	"2"
"sample731"	"personated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample732"	"persuaded"	"1"	"0"	"0"	"0"	"0"	"0"
"sample733"	"philosophically"	"0"	"1"	"0"	"0"	"0"	"0"
"sample734"	"picked"	"0"	"1"	"0"	"0"	"0"	"0"
"sample735"	"pictured"	"0"	"0"	"2"	"0"	"0"	"2"
"sample736"	"piloted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample737"	"pilots"	"0"	"0"	"1"	"0"	"0"	"0"
"sample738"	"placed"	"3"	"1"	"2"	"2"	"0"	"1"
"sample739"	"places"	"2"	"0"	"0"	"0"	"0"	"0"
"sample740"	"planned"	"0"	"2"	"0"	"0"	"0"	"0"
"sample741"	"play"	"1"	"0"	"0"	"0"	"0"	"0"
"sample742"	"played"	"0"	"1"	"1"	"0"	"0"	"1"
"sample743"	"playfully"	"0"	"0"	"1"	"0"	"0"	"0"
"sample744"	"plucks"	"0"	"0"	"1"	"0"	"0"	"0"
"sample745"	"plunged"	"0"	"1"	"0"	"0"	"0"	"0"
"sample746"	"pointed"	"2"	"1"	"3"	"1"	"0"	"0"
"sample747"	"poised"	"1"	"0"	"0"	"0"	"0"	"0"
"sample748"	"pondered"	"0"	"1"	"0"	"0"	"0"	"0"
"sample749"	"poor"	"1"	"0"	"0"	"0"	"0"	"1"
"sample750"	"possessed"	"0"	"0"	"3"	"0"	"0"	"2"
"sample751"	"possesses"	"0"	"0"	"1"	"0"	"0"	"0"
"sample752"	"poured"	"0"	"0"	"1"	"0"	"0"	"1"
"sample753"	"praised"	"0"	"0"	"1"	"0"	"0"	"0"
"sample754"	"prattled"	"0"	"0"	"0"	"0"	"0"	"1"
"sample755"	"prayed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample756"	"precisely"	"1"	"0"	"0"	"0"	"0"	"0"
"sample757"	"preferred"	"1"	"1"	"1"	"0"	"0"	"2"
"sample758"	"prepared"	"0"	"1"	"1"	"0"	"0"	"1"
"sample759"	"prescribed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample760"	"presented"	"1"	"0"	"0"	"1"	"0"	"1"
"sample761"	"presided"	"0"	"0"	"0"	"1"	"0"	"0"
"sample762"	"pressed"	"0"	"0"	"1"	"1"	"0"	"1"
"sample763"	"probably"	"0"	"0"	"0"	"1"	"0"	"0"
"sample764"	"proceeded"	"4"	"0"	"1"	"1"	"0"	"0"
"sample765"	"proclaimed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample766"	"produced"	"0"	"0"	"0"	"1"	"0"	"0"
"sample767"	"professed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample768"	"professes"	"1"	"0"	"0"	"0"	"0"	"0"
"sample769"	"promised"	"0"	"0"	"1"	"0"	"0"	"1"
"sample770"	"pronounced"	"0"	"1"	"1"	"0"	"0"	"0"
"sample771"	"properly"	"1"	"0"	"0"	"0"	"0"	"0"
"sample772"	"proposed"	"1"	"0"	"2"	"0"	"0"	"0"
"sample773"	"proved"	"0"	"3"	"0"	"0"	"0"	"0"
"sample774"	"puffed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample775"	"pulled"	"0"	"2"	"0"	"0"	"0"	"0"
"sample776"	"pulls"	"1"	"0"	"0"	"0"	"0"	"0"
"sample777"	"pursued"	"0"	"0"	"1"	"0"	"0"	"0"
"sample778"	"pushed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample779"	"put"	"3"	"3"	"0"	"0"	"0"	"1"
"sample780"	"puts"	"2"	"0"	"0"	"0"	"0"	"0"
"sample781"	"questioned"	"0"	"1"	"1"	"0"	"0"	"0"
"sample782"	"quickly"	"0"	"0"	"1"	"0"	"0"	"1"
"sample783"	"quit"	"0"	"1"	"0"	"0"	"0"	"0"
"sample784"	"quitted"	"0"	"0"	"3"	"0"	"0"	"5"
